id,clue id,clue
5948-clue_J_1_1,clue_J_1_1,"Emotional in a post-game interview after leading his team to the title in 2016, he yelled, ""Cleveland, this is for you!""."
5948-clue_J_2_1,clue_J_2_1,"2-word term for a jointed, posable male or female character."
5948-clue_J_3_1,clue_J_3_1,"1,100 miles of shoreline were polluted after 2010's Deepwater Horizon oil spill in this large body of water."
5948-clue_J_4_1,clue_J_4_1,This alliterative term refers to what God told Adam not to eat.
5948-clue_J_5_1,clue_J_5_1,"The ""Roller Coaster Capital of the World"", in Sandusky, Ohio: ____ Point."
5948-clue_J_6_1,clue_J_6_1,"Osaka is on this island, as are Japan's largest lake & mountain."
5948-clue_J_1_2,clue_J_1_2,"John Wall & Chris Paul play this 2-word position, the quarterback of the offense."
5948-clue_J_2_2,clue_J_2_2,"To be called this term, a doll must have been made before 1930."
5948-clue_J_3_2,clue_J_3_2,By around 1400 this was responsible for the death of about 40% of Europe's population--25 million people.
5948-clue_J_4_2,clue_J_4_2,"Beware of treacherous people & of this cliche, literally depicted here."
5948-clue_J_5_2,clue_J_5_2,Rap group featuring DJ Muggs & B-Real: ____ Hill.
5948-clue_J_6_2,clue_J_6_2,"The capital of South Holland province, it's the seat of the Netherlands' government."
5948-clue_J_1_3,clue_J_1_3,"The NBA's Kris Humphries, on his wedding to this reality star: ""It was totally different than... a basketball game""."
5948-clue_J_2_3,clue_J_2_3,"Name of the line from Funko with dolls from Belle to Aquaman, or the kind of culture it represents."
5948-clue_J_3_3,clue_J_3_3,"The 79 A.D. eruption gets most of the headlines, but the Dec. 16, 1631 event at this volcano killed 3,000 & had dark sky for days."
5948-clue_J_4_3,clue_J_4_3,"Shakespeare's King Claudius says something ""smells to"" this; today, we put ""high"" before it."
5948-clue_J_5_3,clue_J_5_3,Mom to Tiffany Trump: Marla ____.
5948-clue_J_6_3,clue_J_6_3,"The name of this Central American nation is Spanish for ""depths""."
5948-clue_J_1_4,clue_J_1_4,This Tennessee NBA team set an unenviable record by using 28 players in the 2015-16 season due to injuries.
5948-clue_J_2_4,clue_J_2_4,"For a collectible doll, ""NM"" stands for this almost perfect condition."
5948-clue_J_3_4,clue_J_3_4,"On April 26, 1986 a fireball blew off the steel & concrete lid of the reactor at this power station."
5948-clue_J_4_4,clue_J_4_4,"Meaning to exhaust one's energy & resources, it sounds like quickly using up a pre-industrial light source."
5948-clue_J_5_4,clue_J_5_4,A beauty subscription service founded by Katia Beauchamp & Hayley Barna: ____box.
5948-clue_J_6_4,clue_J_6_4,"The Minch is a channel separating Scotland's NW Highlands from this ""Outer"" island group."
5948-clue_J_1_5,clue_J_1_5,"""Loose Balls"", a book about this league, details the 1976 slam dunk contest won by Dr. J, who got $1,000 & a stereo system."
5948-clue_J_2_5,clue_J_2_5,"19th c. Kammer & Reinhardt dolls often have wood bodies but heads of bisque, a type of this material."
5948-clue_J_3_5,clue_J_3_5,"In the 2000s, 400 tons of industrial waste remained stemming from the 1984 chemical leak in this city in India."
5948-clue_J_4_5,clue_J_4_5,"A satisfying meal is said to do this, attach itself to certain bones."
5948-clue_J_5_5,clue_J_5_5,"The Wilkes plantation in ""Gone With the Wind"": Twelve ____."
5948-clue_J_6_5,clue_J_6_5,This rhymingly named New Jersey city is the seat of Bergen County.
5948-clue_DJ_1_1,clue_DJ_1_1,Underage couples in love are often protected by laws named for this pair.
5948-clue_DJ_2_1,clue_DJ_2_1,A: The rate of increase of speed or velocity.
5948-clue_DJ_3_1,clue_DJ_3_1,"This Vancouver-born actor has ""Vancity"" as part of his Twitter handle."
5948-clue_DJ_4_1,clue_DJ_4_1,"A Biblical proverb tells us that this person ""is servant to the lender""."
5948-clue_DJ_5_1,clue_DJ_5_1,In her teens Lydia Ko became this golf tour's youngest winner of an event & youngest No. 1.
5948-clue_DJ_6_1,clue_DJ_6_1,"I hate to break it to you, but this encyclopedia that dates back to the 18th century is headquartered in Chicago now."
5948-clue_DJ_1_2,clue_DJ_1_2,"Abraham Lincoln repeatedly used the word ""spot"" from this play to imply the U.S. had blood on its hands in the Mexican War."
5948-clue_DJ_2_2,clue_DJ_2_2,I: The tendency to stay in the same place or on the same path until acted on by an outside force.
5948-clue_DJ_3_2,clue_DJ_3_2,"You, you, you oughta know in 1995, she became the first Canadian woman to have a No. 1 album in the United States."
5948-clue_DJ_4_2,clue_DJ_4_2,It sounds harsh but the front of a ship is the bow & the rear is called this.
5948-clue_DJ_5_2,clue_DJ_5_2,"Found in the book of Acts, Lydia was the first European convert of this saint."
5948-clue_DJ_6_2,clue_DJ_6_2,"Grolier released the first digital encyclopedias in 1985, on a laser disk & this medium."
5948-clue_DJ_1_3,clue_DJ_1_3,"John F. Kennedy memorized the ""St. Crispin's Day"" speech from this play & would often quote it."
5948-clue_DJ_2_3,clue_DJ_2_3,D: A nuclide made from the radioactive decay of a parent nuclide.
5948-clue_DJ_3_3,clue_DJ_3_3,"Man, I feel like you're seeing this woman who made the Canadian Music Hall of Fame in 2011."
5948-clue_DJ_4_3,clue_DJ_4_3,"Starting with the same 3 letters, these 2 words describe lenses that curve inward or outward."
5948-clue_DJ_5_3,clue_DJ_5_3,Being of this pacifist faith didn't keep Lydia Darragh from spying for Washington's army.
5948-clue_DJ_6_3,clue_DJ_6_3,"This encyclopedia celebrated its 100th birthday in 2017; it expanded from 8 to 22 ""Book""s in that time."
5948-clue_DJ_1_4,clue_DJ_1_4,"This embattled government organization was faulted for funding a wordless production of ""Twelfth Night""."
5948-clue_DJ_2_4,clue_DJ_2_4,T: Relating to a fusion reaction at a temperature of several million degrees.
5948-clue_DJ_3_4,clue_DJ_3_4,Ontario's own Rachel McAdams was engaged to Bradley Cooper in this 2005 comedy about uninvited guests.
5948-clue_DJ_4_4,clue_DJ_4_4,"An old brand of television, in astronomy it's the opposite of nadir."
5948-clue_DJ_5_4,clue_DJ_5_4,"Hawaii's Queen Liliuokalani, born Lydia Kamakaeha, wrote this song also called ""Farewell To Thee""."
5948-clue_DJ_6_4,clue_DJ_6_4,Case Western Reserve University publishes the encyclopedia of this Midwest city's history.
5948-clue_DJ_1_5,clue_DJ_1_5,"Roll Call said no one in Congress quoted the bard as often as this long, longtime West Virginia senator."
5948-clue_DJ_2_5,clue_DJ_2_5,M:These & baryons make up the major subgroup of hadrons.
5948-clue_DJ_3_5,clue_DJ_3_5,Saskatchewan's Tatiana Maslany perfected accents from British to Ukrainian on this clone drama.
5948-clue_DJ_4_5,clue_DJ_4_5,"Grammatically, English has these 2 voices."
5948-clue_DJ_5_5,clue_DJ_5_5,The name of this Lydian king is synonymous with vast wealth.
5948-clue_DJ_6_5,clue_DJ_6_5,Microsoft shut down this online encyclopedia in 2009.
5948-clue_FJ,clue_FJ,"In 1899, a reunion of this alliterative squad took place, with the governor of New York fittingly on horseback."
